ID,Ring Description,Diamonds shape,Diamond Weights in Carats,Diamond Avg Color,Diamond Avg Clarity,Gems shape if any,Gem Type,Gem Average Clarity,Ring Gross Weight in Grams,Overall Condition,Ring Price,Ring Size
1851.0,"['Diamond', ' Gold ']",[' Full-cut'],[0.39], G-H-I, SI,[],[],,8.1, Very Good,500000.0,0.0
1852.0,"['Diamond', ' Platinum ']","[' marquise, full-cut']",[1.66 1.07], G-H-I, I,[],[],,7.8, Very Good,500000.0,5.0
1853.0,"['Opal', ' Diamond', ' Platinum ']",[' Full-cut'],[19.01  1.46], G-H-I, VS,[' Cabochon'],[' Opal'],,19.1, Very Good,500000.0,6.0
1854.0,"['Diamond', ' Platinum ']","[' Baguette-cut, Triangle-cut', ' Square Modified Brilliant-cut']",[1.52 0.6 ], G-H-I, VS,[],[],,8.8, Very Good,500000.0,6.0
1855.0,"['Diamond', ' Platinum Eternity Band']",[' French-cut'],[4.44], G-H-I, VS,[],[],,6.6, Very Good,500000.0,0.0
1856.0,"['Art Deco Diamond', ' Platinum ']","[' European, single-cut', ' Round Brilliant', ' Circular Brilliant']",[1.05 1.04 0.3 ], G-H-I, SI,[],[],,4.4, Good,500000.0,0.0
1857.0,"['Aquamarine', ' Sapphire', ' Diamond', ' Gold ']",[' Full-cut'],[22.8  0.8  1.2], G-H-I, VS,"[' Rectangular-mixed, Round']","[' Aquamarine, Sapphire']",,13.3, Very Good,500000.0,7.0
1858.0,"['Diamond', ' White Gold ']",[' Full-cut'],[1.55], G-H-I, VS,[],[],,10.0, Very Good,500000.0,0.0
1859.0,"['Aquamarine', ' White Gold ']",[],[70.],,,[' Cushion'],[' Aquamarine'],,24.4, Very Good,500000.0,6.0
1860.0,"['Opal', ' Diamond', ' Gold ']","[' Pear-shaped, Single-cut']",[4.95 2.4  2.85], J-K-L, SI,[' Cabochon'],[' Opal'],,27.4, Very Good,500000.0,6.0
1861.0,"['Colored Diamond', ' Diamond', ' White Gold ']","[' Full-cut, Marquise-cut', ' Pear']",[1.29 0.75 0.56 0.15], G-H-I, VS,[],[],,9.4, Very Good,500000.0,5.0
1862.0,"['Tanzanite', ' Pink Sapphire', ' Diamond', ' Gold ']",[' Baguette-cut'],[ 4.35 26.17  0.61], G-H-I, VS,"[' Oval, Briolette']","[' Tanzanite, Pink Sapphire']",,12.8, Very Good,500000.0,6.0
1863.0,"['Tanzanite', ' Diamond', ' Platinum ']",[' full-cut'],[10.6  1.8], G-H-I, SI,[' Pear'],[' Tanzanite'],,15.5, Very Good,500000.0,6.0
1864.0,"['Emerald', ' Diamond', ' White Gold ']",[' Tapered Baguette-cut'],[5.3 2.5], G-H-I, VS,[' Cabochon'],[' Emerald'],,8.0, Very Good,500000.0,5.0
1865.0,"['Fire Opal', ' Diamond', ' Gold ']",[' Full-cut'],[14.59  1.  ], G-H-I, SI,[' Cushion-shaped'],[' Fire Opal'],,12.8, Very Good,500000.0,6.0
1866.0,"['Colombian Emerald', ' Diamond', ' Gold ']","[' Step-cut, Full-cut']",[4.45 2.7  0.85], G-H-I,,[' Emerald-cut'],[' Emerald'],,9.9, Very Good,500000.0,5.0
1867.0,"['Star Ruby', ' Diamond', ' Platinum ']",[' European-cut'],[4.9  0.55 0.4 ], G-H-I, SI,[' Cabochon'],[' Star Ruby'],,14.0, Very Good,500000.0,7.0
1868.0,"['Art Deco Star Sapphire', ' Diamond', ' Platinum ']","[' single, baguette-cut']",[31.   1.5], G-H-I, VS,[' Oval-cabochon'],[' Star Sapphire'],,14.6, Good,500000.0,5.0
1869.0,"['Aquamarine', ' Diamond', ' Sapphire', ' Gold ']",[' Full-cut'],[37.    1.    3.25], G-H-I, SI,"[' Emerald-cut, Round-cut']","[' Aquamarine, Sapphire']",,24.8, Very Good,500000.0,6.0
1870.0,"[""Gentleman's Diamond"", ' Gold ']",[' Round Brilliant'],[1.73],,,[],[],,10.5, Very Good,500000.0,9.0
1871.0,"['Opal', ' Diamond', ' Platinum ']","[' Full-cut, Marquise-cut']",[2.   0.55], J-K-L, SI,[' Cabochon'],[' Opal'],,18.4, Very Good,500000.0,6.0
1872.0,"['Colored Diamond', ' Diamond', ' Gold ']","[' marquise-cut, pear-shaped, and oval-shaped, full-cut']",[3.95], G-H-I, I,[],[],,13.12, Very Good,500000.0,7.0
1873.0,"[""Gentleman's Sapphire"", ' Diamond', ' Platinum ']",[' Full-cut'],[9.6  0.65], G-H-I, SI,[' Cabochon'],[' Sapphire'],,33.4, Very Good,500000.0,8.0
1874.0,"[""Gentleman's Ruby"", ' Gold ']",[],[nan],,,[' Oval cabochon'],[' Ruby'],,29.0, Good,500000.0,9.0
1875.0,"['Tanzanite', ' Diamond', ' White Gold ']",[' full-cut'],[12.45  1.69], G-H-I, VS,[' Oval'],[' Tanzanite'],,15.3, Very Good,500000.0,7.0
1876.0,"['Fancy Colored Diamond', ' Diamond', ' White Gold ']","[' Baguette-cut', ' Square Modified Brilliant', ' Square Modified Brilliant']",[2.   0.33], G-H-I, SI,[],[],,4.7, Very Good,500000.0,7.0
1877.0,"['Burma Sapphire', ' Diamond', ' White Gold ']",[' Full-cut'],[5.78 1.2 ], G-H-I, SI,[' Rectangular Cushion'],[' Natural Sapphire'],,7.3, Very Good,500000.0,7.0
1878.0,"['Burma Ruby', ' Diamond', ' Platinum ']",[' tapered baguette'],[4.65 2.25], G-H-I, VS,[' Oval'],[' Ruby'],,11.3, Very Good,500000.0,7.0
1879.0,"['Pinkish Purple Sapphire', ' Diamond', ' White Gold ']",[' Full-cut'],[2.31 1.02], G-H-I, VS,[' Cushion'],[' Natural Corundum'],,4.7, Very Good,500000.0,7.0
1880.0,"[""Gentleman's Tanzanite"", ' Diamond', ' White Gold ']",[' Full-cut'],[8.65 0.65], G-H-I, SI,[' Oval'],[' Tanzanite'],,18.4, Very Good,500000.0,11.0
1881.0,"['Peridot', ' Pink Tourmaline', ' Gold ']",[],[15.6  1.5],,,"[' Emerald-cut,']","[' Peridot, Tourmaline']",,14.7, Very Good,500000.0,6.0
1882.0,"['Fancy Deep Pink Brown Diamond', ' Colored Diamond', ' White Gold ']","[' Cushion, Square, Rectangular', ' Cushion Modified Brilliant']",[1.01 7.7 ],, SI,[],[],,13.8, Good,500000.0,6.0
1883.0,"['Diamond', ' Sapphire', ' Platinum ']","[' Round Brilliant, Full-cut']",[1.86 1.54], G-H-I, I,[' Calibré'],[' Sapphire'],,7.15, Very Good,500000.0,6.0
1884.0,"['Emerald', ' Enamel', ' Gold ']",[],[],,,[' Round'],[' Emerald'],,17.24, Very Good,500000.0,0.0
1885.0,"['Tourmaline', ' Tsavorite Garnet', ' Gold ']",[],[10.57  2.16],,,"[' Oval-shaped, round-cut']","[' Green Tourmaline, Tsavorite Garnet']",,26.2, Very Good,500000.0,8.0
1886.0,"['Diamond', ' White Gold Eternity Band']",[' Baguette'],[5.23], G-H-I, VS,[],[],,6.09, Very Good,500000.0,0.0
1887.0,"['Aquamarine', ' Diamond', ' White Gold ']",[' Round'],[10.57  1.1 ], G-H-I, VS,[' Oval'],[' Aquamarine'],,9.7, Very Good,500000.0,7.0
1888.0,"['Pink Sapphire', ' Diamond', ' White Gold ']",[' Full-cut'],[5.58 0.7 ], G-H-I, VS,"[' Cut-cornered rectangular', ' Octagonal Modified Brilliant-Cut']",[' Pink Sapphire'],,6.3, Very Good,500000.0,4.0
1889.0,"['Emerald', ' Diamond', ' Gold ']",[' Full-cut'],[1.2], G-H-I, VS,[' Oval-shaped Cabochon'],[' Emerald'],,49.12, Very Good,500000.0,0.0
1890.0,"['Sapphire', ' Gold ']",[],[2.65 4.2 ],,,[' Oval-shaped'],[' Sapphire'],,21.3, Very Good,500000.0,4.0
1891.0,"['Pink Sapphire', ' Diamond', ' White Gold ']",[' Rose-cut'],[2.7], G-H-I, SI,"[' Heart', ' Heart']",[' Sapphire'],,8.41, Very Good,500000.0,6.0
1892.0,"['Ceylon Purple-Pink Sapphire', ' Platinum ']",[' Full-cut'],[3.   0.57], G-H-I, VS,"[' Oval-shaped', ' Oval-shaped']","[' Sapphire', ' Corundum']",,6.1, Very Good,500000.0,5.0
1893.0,"['Diamond', ' Rock Crystal Quartz', ' Gold ']",[' Full-cut'],[1.3], G-H-I, VS,[' Carved'],[' Rock Crystal Quartz'],,15.9, Very Good,500000.0,6.0
1894.0,"['Art Deco Diamond', ' Platinum ']","[' Round Brilliant-cut, Full-cut, Single-cut']",[1.7  0.05], G-H-I, SI,[],[],,3.6, Very Good,500000.0,7.0
1895.0,"['Diamond', ' Gold ']","[' European-cut, Full-cut']",[2.  1.8], J-K-L, VS,[],[],,13.9, Good,500000.0,0.0
1896.0,"['Ruby', ' Diamond', ' White Gold ']",[' Single-cut'],[2.  0.7], G-H-I, VS,[' Oval-shaped'],[' Ruby'],,5.9, Very Good,500000.0,6.0
1897.0,"['Diamond', ' Platinum', ' White Gold ']","[' European-cut, Single-cut']",[2.4  0.45], J-K-L, VS,[],[],,9.5, Good,500000.0,0.0
1898.0,"['Ceylon Sapphire', ' Diamond', ' Palladium ']","[' Marquise, Full-cut']",[7.   0.5  0.65], G-H-I, SI,[' Cushion'],"[' Sapphire', ' Sapphire']",,7.97, Good,500000.0,6.0
1899.0,"['Diamond', ' Gold ']",[' Marquise'],[1.42],,,[],[],,8.95, Very Good,500000.0,6.0
1900.0,"['Diamond', ' Platinum ']","[' Marquise-cut, Full-cut, Baguette-cut']",[1.35 0.7  1.95], G-H-I, VS,[],[],,9.5, Very Good,500000.0,6.0
1901.0,"['Jadeite Jade', ' Diamond', ' White Gold ']",[' Tapered Baguette-cut'],[2.6 1.8], G-H-I, VS,"[' Marquise-shaped Cabochon', ' Marquise-shaped Cabochon']","[' Jadeite Jade', ' Natural Jadeite Jade']",,7.3, Very Good,500000.0,5.0
1902.0,"['Yellow Sapphire', ' Diamond', ' Gold ']",[' Triangle-cut'],[8.5  0.75], M+, VS,"[' Cushion-shaped', ' Cushion-shaped']","[' Sapphire', ' Corundum']",,33.2, Very Good,500000.0,0.0
1903.0,"['Diamond', ' Platinum ']","[' European-cut, Baguette-cut']",[1.15 0.15], J-K-L, SI,[],[],,2.8, Very Good,500000.0,6.0
1904.0,"['Sapphire', ' Diamond', ' White Gold ']",[' Full-cut'],[5.05 0.75], G-H-I, VS,"[' Cushion-shaped', ' Cushion']","[' Sapphire', ' Corundum']",,6.3,,500000.0,6.0
1905.0,"['Art Deco Diamond', ' Platinum ']","[' Cushion-shaped, Single-cut']",[1.85 0.15], M+, VS,[],[],,2.9, Very Good,500000.0,6.0
1906.0,"['Aquamarine', ' Sapphire', ' Diamond', ' Platinum ']",[' Full-cut'],[31.8   0.7   0.35], G-H-I, VS,"[' Cut-Cornered Rectangle-cut, Square-cut']","[' Aquamarine, Sapphire']", Good,16.5, Very Good,500000.0,6.0
1907.0,"['Ruby', ' Diamond', ' White Gold ']",[' Triangle-shaped'],[2.09 0.42], G-H-I, VS,[' Oval-shaped'],[' Ruby'], Good,5.5, Very Good,500000.0,6.0
1908.0,"['Diamond', ' Gold ']",[' Mine-cut and Full-cut'],[0.55], G-H-I, SI,[],[],,15.2, Very Good,500000.0,0.0
1909.0,"['Opal', ' Diamond', ' Emerald', ' Gold ']",[' Full-cut'],[10.75  1.65  0.95], G-H-I, VS,[' Oval-shaped cabochon and Round-cut'],[' Opal and Emerald'], Good,10.0, Very Good,500000.0,7.0
1910.0,"['Opal', ' Gold ']",[],[12.5],,,[],[],,10.3, Very Good,500000.0,9.0
1911.0,"['Sapphire', ' Diamond', ' White Gold ']",[' Full-cut'],[99.8   1.35], G-H-I, SI,[],[],,41.9, Very Good,500000.0,7.0
1912.0,"['Art Deco Diamond', ' Platinum ']","[' European-cut, Single-cut']",[1.5 0.6], J-K-L, VS,[],[],,6.1, Very Good,500000.0,6.0
1913.0,"['Diamond', ' White Gold ']","[' Emerald-cut, Full-cut']",[1.52 0.6  0.6 ], G-H-I, VS,[],[],,14.42, Very Good,500000.0,6.0
1914.0,"['Tanzanite', ' Diamond', ' White Gold ']","[' Pear-shaped, Full-cut']",[8.53 0.38 0.18], G-H-I, SI,[' Emerald-cut'],[' Tanzanite'],,9.4, Very Good,500000.0,7.0
1915.0,"['Tanzanite', ' Diamond', ' White Gold ']",[' Full-cut'],[7.64 0.82], G-H-I, VVS,[' Emerald-cut'],[' Tanzanite'], Fine,10.08, Excellent,500000.0,6.0
1916.0,"['Cultured Pearl', ' Diamond', ' White Gold ']","[' European-cut', ' Near Round']",[1.8], J-K-L, VS,[],[],,3.8, Good,500000.0,6.0
1917.0,"['Jadeite Jade', ' Diamond', ' White Gold ']",[' Full-cut'],[6.57 1.35], G-H-I, VS,[' Oval-shaped Cabochon'],[' Jadeite Jade'],,8.29, Very Good,500000.0,6.0
1918.0,"['Diamond', ' Emerald', ' Gold ']","[' Emerald-cut, Baguette-cut']",[1.05 1.05 0.5 ], G-H-I, VVS,[' Square Emerald-cut'],[' Emerald'], Fine,4.9, Excellent,500000.0,8.0
1919.0,"['Diamond', ' White Gold ']",[' full-cut'],[1.25 0.6 ], G-H-I, SI,[],[],,8.4, Very Good,500000.0,5.0
1920.0,"['Michael Beaudry Diamond', ' Platinum ']","[' Cushion Modified Brilliant-cut, Full-cut']",[], G-H-I, VVS,[],[],,, Very Good,500000.0,5.0
